id,question,multiSelect,optionA,optionB,optionC,optionD,optionE,optionF,correctAnswers,times,domain
654,What is the minimum duration of usage of an AWS service for billing purposes?,False,One month,One day,No minimum,One billing cycle,,,C,1,"Billing, Pricing, and Support"
655,Which AWS service would be used by developers for packaging deployment packages for application code?,False,CodeCommit,CodeDeploy,CodeBuild,CodeCompile,,,C,1,Cloud Technology and Services
656,What types of reserved instances are available on AWS? (Choose two.),True,Standard,Conforming,Scalable,Convertible,,,"A,D",1,Cloud Technology and Services
657,Which AWS service allows you to purchase reserved instances?,False,S3,EC2,Lightsail,CloudWatch,,,B,1,Cloud Technology and Services
658,Route 53 can dynamically return different answers to DNS queries based on different circumstances within the AWS infrastructure. Which of the following are circumstances that can be configured with Route 53 to give dynamic responses? (Choose two.),True,Geographic location,Incoming port,Latency of systems,Size of transfer request,,,"A,C",1,Cloud Technology and Services
659,Three types of load balancing are used under Elastic Load Balancing. Which of the following is not one of the three types?,False,Application load balancer,Network load balancer,Dynamic load balancer,Classic load balancer,,,C,1,Cloud Technology and Services
660,"As part of an external audit, you need to provide a list of all users and the access they have within your AWS account. Which report from the IAM console would you generate to provide the auditors this information?",False,Credential report,User report,IAM report,Account audit report,,,A,1,Security and Compliance
661,Which of the following statements best describes Software as a Service?,False,The cloud customer is responsible for deploying and configuring virtual machines based upon a managed image.,The cloud customer gets access to a fully managed service via subscription versus installed locally.,The cloud customer gives the user a fully managed platform where only the specific software needed by the user is loaded.,The cloud provider establishes a network and virtualization infrastructure where virtual machines are loaded as software for users to configure.,,,B,1,Cloud Concepts
662,The data your application hosts has strict regulatory requirements that you must meet. Which component of the AWS infrastructure would you be most focused on when deploying resources?,False,Availability Zones,Regions,Edge services,VPC,,,B,1,Cloud Technology and Services
663,Which of the following technologies would be used as a security protection for data in transit?,False,VPC,VPN,ACLs,Security groups,,,B,1,Security and Compliance
664,"When looking at the AWS Management Console, you are not seeing services that you have provisioned. Which of the following could be a reason why?",False,You have not paid for them,Your account requires new access keys,You have not selected the correct region,The console does not show reserved instances,,,C,1,Security and Compliance
665,You have a rule in a security group that allows HTTPS requests into an EC2 instance. Which statement is true about how the security policy applies to responses to the request?,False,The response will be blocked without a corresponding rule allowing it,corresponding ACL must be present to allow the response,Security groups automatically have the same rules for inbound and outbound requests,"Security groups will automatically allow traffic that is a response to an allowed request, regardless of what the rules specify",,,D,1,Security and Compliance
666,Savings plans on AWS offer deep discounts over on-demand pricing based on a commitment for future purchase. Which service is not covered by savings plans?,False,S3,EC2,Lambda,Fargate,,,A,1,Cloud Technology and Services
667,The AWS monthly billing allows for the export and downloading of data. Which format is offered to download your billing data?,False,JSON,XML,QuickBooks,CSV,,,D,1,"Billing, Pricing, and Support"
668,AWS Budgets offers a variety of different planning templates to help users track service consumption and charges. Which of the following are types of budget reports offered? (Choose two.),True,Usage budgets,Overage budgets,Storage budgets,Savings plans coverage budgets,,,"A,D",1,"Billing, Pricing, and Support"
669,You need to be able to quickly verify if data objects in AWS are identical across multiple regions in S3. Which type of algorithm would allow you to quickly and easily accomplish this?,False,Tokenization,Hashing,Obfuscation,Encryption,,,B,1,Security and Compliance
670,You want to run a dynamic website in AWS but do not want to be responsible for deploying or maintaining any servers or software beyond your own application code. Which of the following AWS services would allow you to accomplish this? (Choose two.),True,Lightsail,Lambda,API Gateway,CloudTrail,,,"B,C",1,Security and Compliance
671,AWS OpsWorks provides managed instances of popular automation and configuration tools. Which popular utilities are available within OpsWorks? (Choose two.),False,Git,SVN,Puppet,CVS,,,C,1,Cloud Technology and Services
672,AWS offers the ability to download or export many reports within the Management Console that you can then use for local processing or importing into other tools. Which data format is offered to export the data from the Management Console?,False,CSV,JSON,XML,SQL,,,A,1,Cloud Technology and Services
673,personal use. Which AWS service would be valuable to investigate their activities?,False,CloudTrail,CloudWatch,CloudAudit,CloudLog,,,A,1,Security and Compliance
674,"Rather than using your on-premises VDI solutions, which AWS service could be leveraged to provide your users the same functionality while removing your need to maintain and support a hardware infrastructure?",False,AppStream,WorkSpaces,WorkLink,AWS DaaS,,,B,1,Cloud Technology and Services
675,Your company wants to split budgets out in multiple ways in order to gain insight into costs by department and projects. Which AWS tool under the Billing Dashboard will allow easy implementation of this?,False,Cost centers,Cost graphs,Cost categories,Cost codes,,,C,1,"Billing, Pricing, and Support"
676,AWS incorporates a variety of robust security services to counter common types of web attacks. Which type of attack is the AWS Shield service designed to protect against?,False,Cross-site scripting,SQL injection,Brute force,Distributed Denial of Service,,,D,1,Security and Compliance
677,You need to provide application access to a subset of users to test and verify functionality but do not want them to see production data. What type of data deidentification process would you use for this?,False,Static masking,Dynamic masking,PII masking,Sensitivity masking,,,B,1,Cloud Technology and Services
678,What is the easiest method to implement encryption at rest within S3 from the perspective of the user?,False,Client-side encryption using keys generated by AWS,Server-side encryption using your own keys,Server-side encryption using keys generated by AWS,Client-side encryption using your own keys,,,C,1,Security and Compliance
679,With consolidated billing you can merge multiple accounts into a single bill and leverage the combined resources for discounts on AWS services. Which of the following is not a cost that receives discounts under consolidated billing?,False,EC2,Support plans,Lambda,Fargate,,,B,1,"Billing, Pricing, and Support"
680,Costs for Marketplace offerings have two components. Which of the following are the price components? (Choose two.),True,S3 costs,EC2 costs,Support costs,Licensing costs,,,"B,D",1,"Billing, Pricing, and Support"
681,Your company has decided to retire their on-premises data warehouse and move to a similar solution in AWS for increased capacity and lower costs. Which AWS service would you explore for this initiative?,False,Redshift,Aurora,DynamoDB,RDS,,,A,1,Cloud Technology and Services
682,Which type of service offerings pushes the responsibility for configuration and operations to AWS and leaves the customer only responsible for loading their data?,False,Unmanaged,Regulated,Managed,Offloaded,,,C,1,Cloud Technology and Services
683,"When users are created via the IAM console, what can be used to assign granular levels of access within a service?",False,Groups,Roles,ACLs,Settings,,,B,1,Security and Compliance
684,A system is able to keep functioning when some portions of it experience an outage of resources. What concept refers to this ability?,False,Availability,Resiliency,Redundancy,Elasticity,,,B,1,Cloud Technology and Services
685,AWS allows for resources to be added to a system without any downtime or interruption to services. What is this concept called?,False,Elasticity,Scalability,Expandability,Portability,,,A,1,Cloud Technology and Services
686,Which component of AWS Systems Manager provides a consolidated view of data from sources such as CloudTrail and CloudWatch to help with the investigation of operational issues?,False,Explorer,AppConfig,Systems Manager,OpsCenter,,,D,1,Security and Compliance
687,Security groups and access control lists (ACLs) are two means of applying security rules within AWS. Which of the following statements is true?,False,Security groups and ACLs can both be applied to subnets and instances,Security groups apply to instances; ACLs apply to subnets,Security groups apply to subnets; ACLs apply to instances,Security groups and ACLs are only used on subnets,,,B,1,Security and Compliance
688,"To help manage versioning in AWS S3, the service provides automation tools, called actions, to handle how versions are stored and when they are removed from the system. Which of the following are the types of actions available? (Choose two.)",False,Archive,Transition,Delete,Rotate,,,"B,C",1,Cloud Technology and Services
689,"Under the AWS Shared Responsibility Model and an IaaS implementation, which of the following areas of responsibility reside with the customer? (Choose two.)",True,Application code,Operating system,Virtualization,Storage,,,"A,B",1,Security and Compliance
690,"The use of multifactor authentication is imperative to protect accounts with administrative access, especially the root user for your AWS account. Along with a password, which of the following could be used to fulfill multifactor requirements?",False,PIN,Question/answer challenge,One-time use code,Date of birth,,,C,1,Security and Compliance
691,"Rather than creating accounts with passwords in AWS, your corporate policies require you to use your internal credentials via federation with AWS. Which technology could you use to establish federated authentication with AWS?",False,JSON,HTTPS,RADIUS,SAML,,,D,1,Cloud Technology and Services
692,"When adding new users in IAM, you want to be able to assign a set of capabilities to them and keep them uniform between those users. Which feature of IAM would you use to accomplish this?",False,Groups,Labels,Roles,Sets,,,A,1,Security and Compliance
693,Which core concept of cloud computing most relates to the cost-savings benefits you can realize through AWS offerings?,False,Broad network access,On-demand self-service,Metered service,Resource pooling,,,C,1,Cloud Technology and Services
694,Which AWS support plan is the lowest level that gives 24/7 access to support?,False,Free,Business,Enterprise,Developer,,,B,1,"Billing, Pricing, and Support"
695,"Your company has decided for the first time to start using AWS services for storage. As a precondition, your CEO has demanded assurances that you can quickly remove data from AWS should the need arise. Which core concept of cloud computing would this pertain to?",False,Portability,Reversibility,Interoperability,Removability,,,B,1,Cloud Technology and Services
696,The Trust Advisor can flag AWS services that you have provisioned but are inactive or being used below the level for which they are configured. Which area of Trust Advisor would you explore to find this report?,False,Performance,Service limits,Cost optimization,Security,,,C,1,Cloud Technology and Services
697,You want to do a compliance check with your configurations against best practices. Which AWS service would you use to accomplish this?,False,Trusted Advisor,IAM dashboard,AWS Management Console,AWS System Manager,,,A,1,Security and Compliance
698,"You need to offer easy access to your AWS systems from anywhere, but you do not want to deal with many of the problems of BYOD and the security issues associated with it. Which AWS service would you investigate to accomplish this?",False,OpsWorks,Lambda,Aurora,WorkSpaces,,,D,1,Security and Compliance
699,"When using the AWS Virtual Private Cloud to span between AWS resources and your on-premises resources, what type of cloud deployment are you using?",False,Public,Community,Private,Hybrid,,,D,1,Cloud Concepts
700,Which concept of cloud computing refers to the ability of a system to easily move between different cloud providers?,False,Interoperability,Portability,Moveability,Transferability,,,B,1,Cloud Technology and Services
701,Which AWS database service does not use SQL and is highly optimized for key-value data storage?,False,DynamoDB,Aurora,Redshift,CloudFront,,,A,1,Cloud Technology and Services
702,Which component of the AWS Management Console allows a user to access the shell and CLI for managing EC2 instances without the use of keys or exposing ports?,False,Run command,Distributor,Systems Manager,Automation,,,C,1,Cloud Technology and Services
703,An academic institution has a suite of software packages that it wants to make available to students but does not want to distribute software or be responsible for the support of it on student devices. Which AWS service would be the easiest and most cost-effective means to accomplish this?,False,WorkSpaces,AppStream,WorkLink,VirtualApp,,,B,1,Cloud Technology and Services
704,Which AWS security service would allow you to apply processing rules to web traffic based upon the contents or type of request?,False,AWS Shield,Route 53,AWS WAF,AWS Inspector,,,C,1,Security and Compliance
705,Which AWS storage service is used by EC2 instances for high-throughput data operations?,False,S3,AWS Storage Gateway,Elastic Block Storage,AWS Snow,,,C,1,Cloud Technology and Services
706,You want to use a set of configurations within your code that will use the same key value on all systems but have different values based upon the specific system. Which AWS tool allows you to do this?,False,Parameter store,State manager,Distributor,Automation,,,A,1,Cloud Technology and Services
707,"Which of the following BEST describes the AWS ""Basic"" Support plan?",False,Includes 24/7 phone support for all issues,"Free for all AWS customers, includes documentation, whitepapers, and seven core Trusted Advisor checks",Provides email access to support engineers during business hours,Includes Infrastructure Event Management for major launches,,,B,1,"Billing, Pricing, and Support"
708,A company wants to reduce EC2 costs for a workload that runs 24/7 but can tolerate interruptions and restarting jobs. Which purchase option provides the DEEPEST discount?,False,"Reserved Instances (3-year, all upfront)",Savings Plans (3-year),Spot Instances,On-Demand Instances,,,C,1,Cloud Technology and Services
709,Which of the following is TRUE about how AWS charges for Amazon RDS?,False,Charged per database query executed,"Charged for instance hours, storage provisioned, I/O requests, backup storage, and data transfer out",Flat monthly fee regardless of database size or usage,"Free for the first year, then standard pricing applies",,,B,1,Cloud Technology and Services
710,"A company has separate AWS accounts for Development, Staging, and Production. They want unused Reserved Instances in Development to automatically benefit Production. What must be configured?",False,Manually assign RIs to Production each month,Use AWS Organizations with consolidated billing so RI discounts are shared across all accounts,Purchase separate RIs for each account,Use Savings Plans instead of RIs since they work across accounts automatically,,,B,1,"Billing, Pricing, and Support"
711,Which of the following is an accurate statement about outbound data transfer pricing in AWS?,False,All outbound data transfer from AWS to the internet is free regardless of volume,"The first 100 GB per month of data transfer out to the internet from AWS is free; beyond that, tiered pricing applies",Outbound data transfer is only charged when transferring between Regions,Data transfer from CloudFront to end users is the same price as EC2 to internet,,,B,1,Cloud Technology and Services
712,"A company wants to set up a budget alert that notifies their finance team when actual spending on their EC2 instances exceeds $5,000 in a given month. Which service and configuration achieves this?",False,"AWS Cost Explorer with a $5,000 filter","AWS Budgets with a cost budget scoped to EC2 service with an alert at $5,000 actual spend",Amazon CloudWatch billing alarm scoped to EC2 only,"AWS Pricing Calculator with a $5,000 threshold",,,B,1,"Billing, Pricing, and Support"
713,"Which of the following BEST describes ""AWS IQ""?",False,An AWS Support tier between Business and Enterprise,A marketplace that connects customers with AWS-certified freelancers and consulting firms for project-based work,An AI-powered cost optimization tool,A community forum for AWS technical questions,,,B,1,"Billing, Pricing, and Support"
714,A company wants to understand which AWS services they are using across all 15 of their AWS accounts in a single view and identify accounts with the highest spend. Which tool provides this consolidated multi-account view?,False,AWS Pricing Calculator,AWS Budgets per account,AWS Cost Explorer with AWS Organizations integration,AWS Config aggregator,,,C,1,"Billing, Pricing, and Support"
715,"Which of the following is TRUE about AWS Trusted Advisor checks for the ""Fault Tolerance"" category?",False,It checks whether IAM users have MFA enabled,"It checks for things like EC2 instances not in Multi-AZ, RDS without Multi-AZ, and S3 versioning not enabled",It identifies underutilized EC2 instances based on CPU usage,It checks for open security group rules allowing unrestricted access,,,B,1,Security and Compliance
716,"A company running enterprise workloads wants AWS support that includes monthly cost and architecture reviews, proactive risk identification, and a direct line to an AWS technical expert. Which Support plan provides this?",False,Business Support,Developer Support,Enterprise Support with TAM engagement,Enterprise On-Ramp Support,,,C,1,"Billing, Pricing, and Support"
717,Which of the following BEST describes how AWS Compute Optimizer differs from AWS Trusted Advisor?,False,They are identical tools with different names,"Compute Optimizer uses ML to analyze actual CloudWatch utilization metrics and provides specific rightsizing recommendations for EC2, Lambda, and EBS; Trusted Advisor provides broader checks across cost, security, performance, and fault tolerance",Trusted Advisor provides more detailed rightsizing than Compute Optimizer,Compute Optimizer only works with Reserved Instances,,,B,1,Cloud Technology and Services
718,"A company wants to purchase AWS Support and needs the response time for a ""General Guidance"" question to be no more than 24 hours. What is the MINIMUM Support plan that meets this requirement?",False,Basic (no support cases),"Developer (business hours, 24-hour general guidance response)",Business,Enterprise,,,B,1,"Billing, Pricing, and Support"
719,Which of the following describes how S3 storage pricing works for the S3 Standard storage class?,False,A fixed monthly fee per S3 bucket regardless of data stored,Tiered pricing per GB stored per month — the per-GB cost decreases as total storage increases beyond thresholds,"Charged only for data retrieved, not for storage",A flat per-GB rate with no volume tiers,,,B,1,Cloud Technology and Services
720,"A company wants to use AWS Marketplace to find and subscribe to a third-party security monitoring solution. After subscribing, how does the software appear in their AWS bill?",False,As a separate invoice from the vendor,"As a line item in their regular AWS bill, consolidated with other AWS charges",Billed directly to the credit card on file with the vendor,Billed quarterly regardless of usage,,,B,1,"Billing, Pricing, and Support"
721,Which of the following BEST describes the role of the AWS Partner Network (APN) for customers?,False,The APN replaces AWS Support for technical issues,"The APN is a global community of AWS-certified technology and consulting partners who help customers design, build, and manage AWS solutions","The APN only serves enterprise customers with more than 1,000 AWS accounts",The APN provides discounts on AWS services for partner companies only,,,B,1,Cloud Technology and Services
722,"A retail company experiences 10x normal traffic during Black Friday. After the sale, traffic returns to normal. Which cloud benefit MOST directly addresses the cost efficiency of this pattern?",False,High availability across multiple Availability Zones,"Elasticity — scale up for peak demand and scale down afterward, paying only for actual usage",Reserved Instances providing discounts for predictable workloads,Global reach across multiple AWS Regions,,,B,1,Cloud Technology and Services
723,Which of the following BEST describes how the AWS Cloud model changes the procurement process for IT infrastructure?,False,AWS requires lengthy procurement cycles similar to on-premises hardware purchasing,Infrastructure can be provisioned in minutes via self-service without procurement teams or vendor negotiations,All AWS services require annual contracts approved by AWS account managers,AWS procurement requires hardware lead times of 4–6 weeks,,,B,1,Cloud Technology and Services
724,A company wants to build a resilient application where the loss of any single component does not cause complete system failure. Which design principle from the AWS Well-Architected Framework guides this?,False,Implement expenditure awareness,Use serverless architectures,Design workloads to withstand component failures — eliminate single points of failure,Optimize for cost by minimizing redundant components,,,C,1,Cloud Concepts
725,"Which of the following is an example of the AWS Cloud benefit of ""increasing speed and agility"" specifically for software development teams?",False,Paying less per GB for S3 storage as volume increases,Developers can spin up and tear down test environments in minutes instead of waiting weeks for hardware,Applications automatically recover from failures without human intervention,Data is replicated across multiple Availability Zones automatically,,,B,1,Cloud Technology and Services
726,"Which AWS migration strategy involves switching from a self-hosted application to a commercially available SaaS product, such as moving from a self-managed email server to a cloud-based email service?",False,Rehosting,Replatforming,Refactoring,Repurchasing,,,D,1,Cloud Concepts
727,"A company wants to understand the difference between ""stopping"" and ""terminating"" an EC2 instance. Which statement is CORRECT?",False,Stopping and terminating both permanently delete the instance and its EBS volume,Stopping an instance preserves its EBS volume and allows it to be restarted; terminating permanently deletes the instance and by default deletes attached EBS volumes,Terminating an instance stops it temporarily while preserving all data,Stopping an instance deletes instance store data but preserves EBS volumes; terminating deletes both,,,B,1,Cloud Technology and Services
728,"Which of the following BEST describes the ""shared fate"" risk that the AWS Cloud eliminates compared to on-premises infrastructure?",False,Multiple applications sharing the same programming language dependencies,A single hardware failure causing multiple unrelated services to fail because they share the same physical server or power circuit,Multiple teams sharing the same AWS account credentials,Applications sharing the same VPC and affecting each other's network performance,,,B,1,Cloud Technology and Services
729,"A company wants to implement ""chaos engineering"" principles to test their application's resilience. This involves deliberately causing failures to verify the system recovers. Which AWS Well-Architected pillar encompasses this practice?",False,Cost Optimization,Security,Performance Efficiency,Reliability,,,D,1,Cloud Concepts
730,Which of the following services helps companies understand their cloud migration readiness by evaluating their organizational capabilities across six perspectives and identifying gaps to address?,False,AWS Well-Architected Tool,AWS Trusted Advisor,AWS Cloud Adoption Framework (CAF),AWS Migration Hub,,,C,1,Cloud Concepts
731,"Which of the following BEST describes the AWS concept of ""everything fails all the time"" and how it influences cloud architecture?",False,"AWS services frequently fail, so companies should avoid using them for critical workloads","Acknowledging that failures are inevitable leads architects to design for resilience — using redundancy, auto-healing, and graceful degradation — rather than assuming perfect reliability",AWS guarantees zero failures through hardware redundancy,"This concept only applies to storage services, not compute",,,B,1,Cloud Technology and Services
732,"A company uses Amazon S3 for storing customer data. According to the Shared Responsibility Model, which of the following is SOLELY AWS's responsibility?",False,Classifying the sensitivity of customer data,Setting appropriate S3 bucket access policies,Maintaining the physical security and integrity of the underlying storage hardware,Encrypting customer data before storing it,,,C,1,Security and Compliance
733,A company wants to implement a policy where no single person can both approve and execute a production deployment. This is a security principle known as:,False,Least Privilege,Defense in Depth,Separation of Duties,Zero Trust,,,C,1,Security and Compliance
734,Which AWS service continuously evaluates your AWS environment against a set of security best practices and provides a prioritized list of findings with remediation guidance?,False,AWS CloudTrail,AWS Trusted Advisor (security checks),AWS Security Hub (with standards like CIS AWS Foundations),Amazon GuardDuty,,,C,1,Security and Compliance
735,A company's developer accidentally deleted a critical IAM role. They need to identify who deleted it and when. Which service provides this information?,False,Amazon CloudWatch Metrics,AWS Config configuration history,AWS CloudTrail event history,AWS Trusted Advisor IAM checks,,,C,1,Security and Compliance
736,"Which of the following BEST describes the concept of ""zero trust"" security as applied to AWS?",False,Trust all traffic within the VPC by default since it is private,"Never implicitly trust any request — verify identity, validate permissions, and enforce least privilege for every API call regardless of network location",Use zero security controls to reduce management overhead,Only apply security controls at the network perimeter,,,B,1,Security and Compliance
737,"A company wants to ensure that when a new EC2 instance is launched, it automatically receives a security scan within 24 hours. Which AWS service performs automated vulnerability scanning of new EC2 instances?",False,Amazon GuardDuty,Amazon Inspector v2 (automatically scans new instances),AWS Config with EC2 rules,AWS Trusted Advisor,,,B,1,Security and Compliance
738,"Which of the following actions would a company take to ""harden"" the security of their IAM configuration? (Select TWO)",True,"Enable MFA for all IAM users, especially those with privileged access",Grant all developers administrator access to improve productivity,Regularly review and remove IAM permissions that are no longer needed,Use a single shared IAM user for all team members,Store access keys in application configuration files,,"A,C",1,Security and Compliance
739,A company wants to ensure that their Amazon RDS database is only accessible from within their VPC and not from the public internet. Which VPC configuration achieves this?,False,Place the RDS instance in a public subnet with a restrictive security group,Place the RDS instance in a private subnet with no Internet Gateway route and a security group allowing access only from application servers,Enable RDS encryption at rest to prevent external access,Apply a Network ACL blocking all inbound RDS traffic,,,B,1,Security and Compliance
740,"Which of the following BEST describes the AWS ""Shared Controls"" category in the Shared Responsibility Model?",False,Controls managed entirely by AWS on behalf of the customer,Controls like patch management and training where both AWS and the customer apply the control in their respective areas,Controls that are optional and apply only to enterprise customers,Controls that AWS applies to all customers uniformly,,,B,1,Security and Compliance
741,A company wants to automatically detect and alert on any new IAM user being created with administrator access. Which combination of services achieves this?,False,IAM Access Analyzer + S3,CloudTrail + EventBridge rule detecting CreateUser API calls with AdministratorAccess policy + SNS notification,GuardDuty + Lambda,Config + CloudWatch Logs,,,B,1,Security and Compliance
742,Which of the following is TRUE about S3 Bucket Policies compared to IAM Policies for controlling S3 access?,False,S3 bucket policies can only restrict access; IAM policies can only grant access,"S3 bucket policies are attached to the bucket and can grant or deny access to specific AWS accounts, IAM users, or even anonymous users; IAM policies are attached to IAM identities",IAM policies always take precedence over S3 bucket policies,S3 bucket policies and IAM policies cannot both apply to the same access request,,,B,1,Security and Compliance
743,A company needs to provide temporary AWS credentials to a mobile application user authenticated via their Google account. Which AWS service issues temporary credentials for this federated identity use case?,False,AWS IAM Identity Center,Amazon Cognito Identity Pools with Google as an identity provider,AWS KMS,IAM Access Analyzer,,,B,1,Security and Compliance
744,"Which of the following BEST describes a ""security group rule"" in AWS VPC?",False,A rule that defines which AWS services an IAM user can access,"A stateful rule attached to network interfaces (EC2, RDS, etc.) that controls inbound and outbound traffic at the instance level",A rule that controls traffic at the subnet level using allow and deny statements,A rule that encrypts all traffic entering a VPC,,,B,1,Security and Compliance
745,"A company wants to ensure all EC2 instances in their environment are tagged with an ""Owner"" tag. Which AWS service can automatically detect and report on EC2 instances missing this tag?",False,Amazon GuardDuty,AWS CloudTrail,AWS Config with the required-tags rule,Amazon Inspector,,,C,1,Security and Compliance
746,Which of the following is TRUE about AWS KMS key policies?,False,"KMS key policies are optional — if not set, IAM policies alone control all key access","Every KMS key must have a key policy; it is the primary way to control access to the key, and IAM policies can supplement it",KMS key policies cannot be modified after key creation,"KMS key policies only apply to customer-managed keys, not AWS-managed keys",,,B,1,Security and Compliance
747,A company's application running on EC2 in a private subnet needs to access the AWS Systems Manager API without going through the internet. Which VPC feature enables this without modifying the application?,False,NAT Gateway,Internet Gateway,VPC Interface Endpoint for Systems Manager,AWS Direct Connect,,,C,1,Cloud Technology and Services
748,"Which of the following is an example of a ""detective control"" in AWS security architecture?",False,An IAM policy denying unauthorized users from accessing a resource,A Security Group blocking inbound traffic from unauthorized IP ranges,Amazon GuardDuty continuously analyzing logs to detect and alert on suspicious activity,S3 Block Public Access preventing public bucket creation,,,C,1,Security and Compliance
749,A company wants to protect their web application running behind an Application Load Balancer from automated bot traffic and credential stuffing attacks. Which AWS service is BEST suited?,False,AWS Shield Standard,Amazon GuardDuty,AWS WAF with Bot Control managed rule group,Amazon Inspector,,,C,1,Security and Compliance
750,Which of the following BEST describes the difference between Amazon ECS and Amazon EKS?,False,ECS uses Docker containers; EKS uses only virtual machines,ECS is AWS's proprietary container orchestration service; EKS is a managed Kubernetes service for teams already using Kubernetes,EKS is simpler to use than ECS for new deployments,ECS only runs on Fargate; EKS only runs on EC2,,,B,1,Cloud Technology and Services
751,A company wants to implement blue/green deployments for their Lambda functions to gradually shift traffic from the old version to the new version and roll back instantly if issues arise. Which service manages this?,False,AWS CodeCommit,AWS CodeBuild,AWS CodeDeploy with Lambda deployment configurations,AWS CloudFormation only,,,C,1,Cloud Technology and Services
752,"Which Amazon S3 storage class provides the LOWEST storage cost but requires objects to be stored in a single Availability Zone, accepting the risk of data loss if that AZ is destroyed?",False,S3 Standard-IA,S3 Glacier Flexible Retrieval,S3 One Zone-IA,S3 Glacier Deep Archive,,,C,1,Cloud Technology and Services
753,A company wants to route API traffic to different backend services based on the URL path — /users to one Lambda function and /orders to another. Which AWS service provides this path-based routing?,False,Amazon Route 53,Amazon CloudFront,Amazon API Gateway,Network Load Balancer,,,C,1,Cloud Technology and Services
754,"Which AWS service provides a managed, serverless, pay-per-query interactive query service that can run SQL directly against data in S3, and also supports federated queries across RDS and DynamoDB?",False,Amazon Redshift,Amazon Athena,AWS Glue,Amazon OpenSearch Service,,,B,1,Cloud Technology and Services
755,A company wants to connect two VPCs in different AWS accounts so resources in each can communicate privately using private IP addresses. Which is the SIMPLEST networking solution?,False,AWS Transit Gateway,VPC Peering,AWS Direct Connect,AWS PrivateLink,,,B,1,Cloud Technology and Services
756,"Which AWS compute service is MOST appropriate for running a containerized data processing job that needs 32 GB of memory, runs for 2 hours, and doesn't require a persistent environment?",False,Amazon EC2 On-Demand,"AWS Lambda (max 10 GB memory, 15 min timeout)",AWS Fargate task,Amazon Lightsail,,,C,1,Cloud Technology and Services
757,A company wants to use a single DNS name that automatically routes users to the nearest AWS Region. Which Route 53 routing policy achieves the LOWEST latency for geographically distributed users?,False,Simple routing,Weighted routing,Geolocation routing,Latency-based routing,,,D,1,Cloud Technology and Services
758,"Which AWS service provides a fully managed in-memory caching solution compatible with Memcached and is designed for simple, high-performance caching of database query results without data persistence?",False,Amazon ElastiCache for Redis,Amazon DynamoDB DAX,Amazon ElastiCache for Memcached,Amazon MemoryDB for Redis,,,C,1,Cloud Technology and Services
759,A company wants to implement real-time monitoring of their application logs to detect errors and trigger alerts automatically. Which combination of AWS services achieves this?,False,CloudTrail + S3 + Athena,CloudWatch Logs + CloudWatch Metric Filters + CloudWatch Alarms + SNS,AWS Config + EventBridge + Lambda,Inspector + GuardDuty + Security Hub,,,B,1,Security and Compliance
760,"Which AWS service provides a visual dashboard showing all AWS resources in your account across all Regions, helping teams understand resource inventory and relationships?",False,AWS Config,AWS Systems Manager Explorer,Amazon CloudWatch,AWS CloudTrail,,,A,1,Security and Compliance
761,"A company is building a mobile application and needs a scalable backend that can handle user authentication, real-time data sync, and push notifications. Which AWS service provides a managed GraphQL API for this?",False,Amazon API Gateway,AWS Amplify,AWS AppSync,Amazon Cognito,,,C,1,Security and Compliance
762,Which of the following BEST describes Amazon DynamoDB Streams?,False,A feature that caches DynamoDB reads to reduce latency,A time-ordered sequence of item-level changes in a DynamoDB table that can trigger Lambda functions for event-driven processing,A service for streaming data from DynamoDB to S3 for analytics,A feature that replicates DynamoDB tables across multiple Regions,,,B,1,Cloud Technology and Services
763,A company stores 5 PB of genomics research data that is rarely accessed. They need to retrieve it occasionally within a few hours. Which S3 storage class provides the BEST balance of cost and retrieval speed?,False,S3 Standard,S3 Glacier Flexible Retrieval (3-5 hours standard retrieval),S3 Glacier Deep Archive (12+ hours retrieval),S3 Standard-IA,,,B,1,Cloud Technology and Services
764,"Which AWS service provides a managed, high-performance file system optimized for Linux-based HPC workloads, machine learning training, and media processing requiring fast parallel access to large datasets?",False,Amazon EFS,Amazon FSx for Lustre,Amazon FSx for Windows File Server,Amazon EBS io2,,,B,1,Cloud Technology and Services
765,A company wants to run a legacy application that requires Windows Server 2012 on AWS. Which service allows them to run this with full control over the OS configuration?,False,AWS Lambda,AWS Elastic Beanstalk with Windows,Amazon EC2 with a Windows Server 2012 AMI,AWS Fargate with Windows containers,,,C,1,Cloud Technology and Services
766,Which of the following BEST describes the use of Amazon CloudFront signed URLs and signed cookies?,False,Used to encrypt CloudFront distribution content at rest,Used to restrict access to CloudFront content so only authorized users with a valid signature can access specific files or a set of files,Used to authenticate CloudFront to origin servers,Used to sign API requests to AWS services,,,B,1,Security and Compliance
767,"A company wants to capture every data modification made to an Amazon DynamoDB table and use it to trigger downstream processing in real time, such as updating a search index. Which feature enables this?",False,DynamoDB Global Tables,DynamoDB Auto Scaling,DynamoDB Streams with Lambda trigger,DynamoDB Accelerator (DAX),,,C,1,Cloud Technology and Services
768,"Which AWS service provides a managed, scalable search and discovery engine for data in AWS — allowing users to search structured and unstructured content across Amazon S3, RDS, Salesforce, and other sources using natural language?",False,Amazon OpenSearch Service,Amazon Athena,Amazon Kendra,Amazon Comprehend,,,C,1,Cloud Technology and Services
